cpu_demand_mips,ram_demand_mb,size_mbits,cpu_cycles,static_priority,cpu_norm,ram_norm,size_norm,cpu_ram_ratio,compute_density,load_score,task_type,task_type_name
1877.82,278.13,4.4789,1330226104.46,0.0,0.438911,0.021612,0.826292,6.7516,297000000.0,0.271992,2,BALANCED
1280.5,823.33,2.3257,690740985.35,0.0,0.140249,0.554036,0.108576,1.5553,297000000.0,0.305764,2,BALANCED
1562.47,931.25,4.181,1241752201.33,0.0,0.281234,0.659423,0.726995,1.6778,297000000.0,0.432509,1,MEM_INTENSIVE
1215.48,1194.0,2.6906,799120665.89,1.0,0.107741,0.916012,0.230214,1.018,297000000.0,0.431049,1,MEM_INTENSIVE
2109.7,635.82,4.4894,1333342661.13,0.0,0.554852,0.370922,0.82979,3.3181,297000000.0,0.48128,2,BALANCED
1634.28,1231.77,2.8728,853207793.78,0.0,0.317139,0.952899,0.290918,1.3268,297000000.0,0.571443,1,MEM_INTENSIVE
1511.93,1214.51,2.4938,740665565.47,1.0,0.255965,0.936044,0.164608,1.2449,297000000.0,0.527996,1,MEM_INTENSIVE
1870.19,1272.19,4.675,1388484444.23,0.0,0.435097,0.992376,0.891677,1.4701,297000000.0,0.658008,1,MEM_INTENSIVE
2781.58,1170.89,3.5566,1056302799.1,0.0,0.890792,0.893447,0.518858,2.3756,297000000.0,0.891854,0,CPU_INTENSIVE
2544.02,933.54,3.121,926929036.43,1.0,0.772012,0.661661,0.373658,2.7251,297000000.0,0.727872,0,CPU_INTENSIVE
2493.58,524.76,4.8104,1428700517.13,1.0,0.74679,0.262461,0.936813,4.7519,297000000.0,0.553058,0,CPU_INTENSIVE
1245.52,1107.06,2.4599,730576326.11,1.0,0.122758,0.831113,0.153284,1.1251,297000000.0,0.4061,1,MEM_INTENSIVE
2198.77,1151.55,2.5893,769023287.15,0.0,0.599383,0.874562,0.196435,1.9094,297000000.0,0.709454,1,MEM_INTENSIVE
2554.81,1251.15,3.5022,1040160396.91,1.0,0.777405,0.971826,0.500741,2.042,297000000.0,0.855173,0,CPU_INTENSIVE
1027.87,491.17,2.3955,711453596.05,0.0,0.013936,0.229656,0.131822,2.0927,297000000.0,0.100224,2,BALANCED
1243.67,774.48,4.0828,1212587830.16,0.0,0.121833,0.50633,0.694262,1.6058,297000000.0,0.275631,2,BALANCED
1399.55,1079.42,4.1462,1231427752.49,0.0,0.199776,0.804125,0.715407,1.2966,297000000.0,0.441515,1,MEM_INTENSIVE
1262.12,382.72,4.7827,1420458232.95,0.0,0.131058,0.123754,0.927563,3.2977,297000000.0,0.128136,2,BALANCED
1601.9,756.31,3.9886,1184612013.57,0.0,0.300949,0.488584,0.662864,2.118,297000000.0,0.376003,2,BALANCED
1572.89,1203.0,2.0746,616149806.83,0.0,0.286446,0.924808,0.024859,1.3075,297000000.0,0.541791,1,MEM_INTENSIVE
2267.95,364.44,2.421,719042580.98,0.0,0.633975,0.105897,0.14034,6.2231,297000000.0,0.422744,2,BALANCED
2932.46,866.35,4.7991,1425323690.45,0.0,0.966232,0.596043,0.933023,3.3849,297000000.0,0.818156,0,CPU_INTENSIVE
1934.76,1059.6,2.0535,609892574.52,1.0,0.467382,0.784763,0.017837,1.8259,297000000.0,0.594334,1,MEM_INTENSIVE
2658.86,1071.94,2.6979,801282901.09,0.0,0.829429,0.796817,0.232641,2.4804,297000000.0,0.816384,0,CPU_INTENSIVE
2212.03,1144.56,3.8093,1131368477.19,0.0,0.606016,0.867739,0.603107,1.9326,297000000.0,0.710705,1,MEM_INTENSIVE
1748.37,692.1,3.9558,1174870543.79,0.0,0.374184,0.425882,0.651931,2.5262,297000000.0,0.394863,2,BALANCED
1907.79,509.79,2.71,804866165.43,0.0,0.453897,0.24784,0.236662,3.7423,297000000.0,0.371474,2,BALANCED
2633.14,363.8,2.1997,653303941.55,0.0,0.816569,0.105278,0.066559,7.2378,297000000.0,0.532052,0,CPU_INTENSIVE
1292.35,1100.46,2.931,870508194.47,1.0,0.146173,0.824664,0.310335,1.1744,297000000.0,0.41757,1,MEM_INTENSIVE
2841.94,425.5,2.8542,847685593.36,1.0,0.92097,0.165532,0.28472,6.679,297000000.0,0.618795,0,CPU_INTENSIVE
1230.98,277.66,2.1662,643357309.57,1.0,0.11549,0.021148,0.055395,4.4335,297000000.0,0.077753,2,BALANCED
1106.76,861.33,4.0421,1200516643.38,0.0,0.053382,0.591144,0.680715,1.2849,297000000.0,0.268487,2,BALANCED
1635.98,772.63,4.625,1373629403.53,0.0,0.317991,0.504526,0.875005,2.1174,297000000.0,0.392605,2,BALANCED
1086.95,441.85,2.7102,804939680.15,1.0,0.043475,0.181498,0.236745,2.46,297000000.0,0.098684,2,BALANCED
2142.47,682.25,2.1478,637885420.86,0.0,0.571233,0.416262,0.049254,3.1403,297000000.0,0.509245,2,BALANCED
2047.51,360.11,4.5004,1336611571.43,1.0,0.523753,0.101672,0.833459,5.6857,297000000.0,0.354921,2,BALANCED
2849.68,357.49,4.5307,1345625281.87,0.0,0.924842,0.099113,0.843575,7.9713,297000000.0,0.59455,0,CPU_INTENSIVE
2959.14,1077.27,4.3384,1288514488.83,0.0,0.979571,0.802026,0.779478,2.7469,297000000.0,0.908553,0,CPU_INTENSIVE
2557.99,393.78,3.6082,1071636620.03,0.0,0.778996,0.134552,0.536068,6.496,297000000.0,0.521219,0,CPU_INTENSIVE
2715.14,729.91,3.1553,937114741.03,0.0,0.857572,0.462799,0.385089,3.7199,297000000.0,0.699663,0,CPU_INTENSIVE
1532.93,399.12,3.4336,1019788651.16,0.0,0.266463,0.139768,0.477877,3.8407,297000000.0,0.215785,2,BALANCED
1465.14,632.33,3.0992,920455672.8,0.0,0.23257,0.367512,0.366392,2.317,297000000.0,0.286547,2,BALANCED
1758.93,958.2,2.8906,858516938.84,0.0,0.379464,0.685743,0.296876,1.8357,297000000.0,0.501976,1,MEM_INTENSIVE
2832.7,748.45,2.9851,886569833.66,0.0,0.916348,0.48091,0.328361,3.7847,297000000.0,0.742173,0,CPU_INTENSIVE
2697.12,924.25,4.4132,1310713118.7,0.0,0.84856,0.652587,0.804392,2.9182,297000000.0,0.770171,0,CPU_INTENSIVE
2265.84,551.07,4.2047,1248789807.62,1.0,0.632918,0.288156,0.734893,4.1117,297000000.0,0.495013,2,BALANCED
2389.6,1137.38,2.3963,711703628.04,0.0,0.694798,0.860719,0.132103,2.101,297000000.0,0.761167,0,CPU_INTENSIVE
1190.19,999.13,2.2535,669283457.97,0.0,0.095096,0.725716,0.084493,1.1912,297000000.0,0.347344,1,MEM_INTENSIVE
1274.82,1237.89,4.4027,1307587800.89,0.0,0.137408,0.95888,0.800884,1.0298,297000000.0,0.465997,1,MEM_INTENSIVE
2565.25,1070.2,4.8381,1436910112.97,1.0,0.782624,0.795115,0.946027,2.397,297000000.0,0.78762,0,CPU_INTENSIVE
2180.15,353.33,3.8485,1143003638.72,1.0,0.590076,0.095049,0.616166,6.1703,297000000.0,0.392065,2,BALANCED
2129.9,842.17,3.398,1009192771.31,0.0,0.564951,0.572431,0.465985,2.5291,297000000.0,0.567943,2,BALANCED
2527.85,1074.43,3.4765,1032508515.08,0.0,0.763923,0.799245,0.492153,2.3527,297000000.0,0.778052,0,CPU_INTENSIVE
2862.47,378.61,2.3513,698339277.22,1.0,0.931236,0.119734,0.117104,7.5605,297000000.0,0.606635,0,CPU_INTENSIVE
2315.73,684.65,4.323,1283920381.78,0.0,0.657863,0.418608,0.774321,3.3823,297000000.0,0.562161,0,CPU_INTENSIVE
1667.28,1175.93,4.2876,1273416143.04,1.0,0.333638,0.898367,0.762532,1.4178,297000000.0,0.559529,1,MEM_INTENSIVE
1728.38,577.99,2.4728,734431978.92,1.0,0.364192,0.31444,0.157612,2.9904,297000000.0,0.344291,2,BALANCED
2872.25,704.41,3.15,935537962.09,0.0,0.936127,0.437904,0.38332,4.0775,297000000.0,0.736838,0,CPU_INTENSIVE
2105.99,1214.61,4.3409,1289248631.07,0.0,0.552993,0.93614,0.780301,1.7339,297000000.0,0.706252,1,MEM_INTENSIVE
1752.72,1266.31,4.1533,1233524370.28,0.0,0.376359,0.986632,0.71776,1.3841,297000000.0,0.620468,1,MEM_INTENSIVE
1236.96,1126.95,3.9112,1161632830.64,1.0,0.118479,0.850534,0.637074,1.0976,297000000.0,0.411301,1,MEM_INTENSIVE
2176.52,958.56,2.0369,604961693.13,0.0,0.588258,0.686096,0.012303,2.2706,297000000.0,0.627393,1,MEM_INTENSIVE
2650.8,558.45,3.3756,1002566340.88,0.0,0.8254,0.295359,0.458548,4.7467,297000000.0,0.613383,0,CPU_INTENSIVE
1603.85,1196.48,4.3439,1290132985.57,1.0,0.301927,0.918442,0.781294,1.3405,297000000.0,0.548533,1,MEM_INTENSIVE
2994.07,1156.3,2.8517,846962418.14,0.0,0.997035,0.8792,0.283908,2.5894,297000000.0,0.949901,0,CPU_INTENSIVE
1212.84,1279.08,3.9971,1187125099.87,0.0,0.10642,0.999105,0.665685,0.9482,297000000.0,0.463494,1,MEM_INTENSIVE
1180.88,1174.56,2.087,619838557.36,1.0,0.090441,0.897033,0.029,1.0054,297000000.0,0.413078,1,MEM_INTENSIVE
1286.04,1051.41,2.5946,770599966.45,0.0,0.143022,0.776768,0.198204,1.2232,297000000.0,0.39652,1,MEM_INTENSIVE
2312.54,293.03,2.0163,598837982.21,1.0,0.656269,0.036163,0.00543,7.8918,297000000.0,0.408227,0,CPU_INTENSIVE
2211.85,1076.72,2.7157,806550563.18,0.0,0.605925,0.801482,0.238553,2.0543,297000000.0,0.684148,1,MEM_INTENSIVE
1114.46,1076.19,4.7834,1420665728.28,0.0,0.057232,0.800964,0.927795,1.0356,297000000.0,0.354725,1,MEM_INTENSIVE
2396.24,1114.09,2.1205,629774807.9,1.0,0.698121,0.83798,0.040151,2.1508,297000000.0,0.754065,0,CPU_INTENSIVE
1249.85,772.64,4.2356,1257962622.34,0.0,0.124924,0.504531,0.745188,1.6176,297000000.0,0.276767,2,BALANCED
2702.26,414.94,4.2039,1248547392.91,1.0,0.851131,0.155213,0.734621,6.5124,297000000.0,0.572764,0,CPU_INTENSIVE
1541.52,982.94,4.9406,1467362463.34,0.0,0.270759,0.709905,0.980205,1.5683,297000000.0,0.446417,1,MEM_INTENSIVE
1109.0,887.1,2.1271,631734341.46,0.0,0.0545,0.616309,0.042351,1.2501,297000000.0,0.279224,2,BALANCED
2419.16,433.28,2.2752,675723416.19,1.0,0.709578,0.173128,0.091721,5.5833,297000000.0,0.494998,0,CPU_INTENSIVE
2960.05,725.57,4.3522,1292616124.97,0.0,0.980027,0.458561,0.784081,4.0796,297000000.0,0.771441,0,CPU_INTENSIVE
2144.83,404.61,4.8381,1436907788.12,0.0,0.572413,0.14513,0.946024,5.3009,297000000.0,0.4015,2,BALANCED
2156.03,972.57,3.9477,1172466741.32,0.0,0.578017,0.699776,0.649233,2.2168,297000000.0,0.626721,1,MEM_INTENSIVE
1296.88,776.55,3.2121,953994642.15,0.0,0.148439,0.508353,0.404034,1.67,297000000.0,0.292404,2,BALANCED
1238.44,393.31,2.8342,841765311.29,0.0,0.119218,0.134095,0.278076,3.1487,297000000.0,0.125168,2,BALANCED
1855.81,881.65,3.9039,1159454543.62,0.0,0.427903,0.610988,0.634629,2.1049,297000000.0,0.501137,2,BALANCED
1817.57,478.85,3.7649,1118180867.33,0.0,0.408783,0.217629,0.588306,3.7957,297000000.0,0.332321,2,BALANCED
1072.12,684.44,3.4224,1016452213.51,1.0,0.03606,0.4184,0.474133,1.5664,297000000.0,0.188996,2,BALANCED
2144.92,835.35,4.106,1219483943.37,0.0,0.572458,0.565772,0.702002,2.5677,297000000.0,0.569784,2,BALANCED
2304.87,579.8,4.3623,1295602109.79,0.0,0.652433,0.316214,0.787432,3.9753,297000000.0,0.517945,0,CPU_INTENSIVE
1862.84,897.04,3.082,915345685.0,0.0,0.431418,0.626012,0.360657,2.0767,297000000.0,0.509256,2,BALANCED
2473.41,1163.68,4.7632,1414661962.79,0.0,0.736706,0.886403,0.921057,2.1255,297000000.0,0.796585,0,CPU_INTENSIVE
2040.55,1075.07,2.9434,874175566.34,0.0,0.520275,0.79987,0.314451,1.8981,297000000.0,0.632113,1,MEM_INTENSIVE
1988.28,374.64,2.2162,658204700.04,0.0,0.494142,0.115857,0.072059,5.3072,297000000.0,0.342828,2,BALANCED
1111.14,543.35,3.0024,891709866.09,1.0,0.055568,0.280611,0.33413,2.045,297000000.0,0.145585,2,BALANCED
1627.79,1016.52,2.044,607082413.61,0.0,0.313893,0.742693,0.014683,1.6013,297000000.0,0.485413,1,MEM_INTENSIVE
2713.1,637.2,2.4608,730869093.06,0.0,0.856548,0.372262,0.153613,4.2579,297000000.0,0.662833,0,CPU_INTENSIVE
1239.35,629.68,4.8753,1447960400.18,0.0,0.119673,0.364919,0.958429,1.9682,297000000.0,0.217771,2,BALANCED
2544.21,574.42,4.063,1206709558.81,0.0,0.772105,0.310962,0.687665,4.4291,297000000.0,0.587648,0,CPU_INTENSIVE
1775.68,912.27,2.0322,603558331.67,1.0,0.387842,0.640889,0.010728,1.9464,297000000.0,0.48906,2,BALANCED
2050.18,423.68,2.4977,741823019.28,0.0,0.525088,0.163751,0.165907,4.839,297000000.0,0.380554,2,BALANCED
2978.27,825.31,4.5172,1341611130.22,0.0,0.989133,0.555969,0.83907,3.6087,297000000.0,0.815868,0,CPU_INTENSIVE
1283.19,715.0,3.1777,943782289.82,1.0,0.141596,0.448246,0.392573,1.7947,297000000.0,0.264256,2,BALANCED
2510.66,700.19,3.408,1012170298.36,1.0,0.75533,0.433779,0.469327,3.5857,297000000.0,0.62671,0,CPU_INTENSIVE
1361.85,1184.87,2.1339,633782338.28,1.0,0.180927,0.907104,0.044649,1.1494,297000000.0,0.471397,1,MEM_INTENSIVE
1584.12,757.96,3.7593,1116522649.16,0.0,0.292059,0.490198,0.586445,2.09,297000000.0,0.371315,2,BALANCED
1168.23,505.52,4.5308,1345637250.82,0.0,0.084115,0.243667,0.843588,2.311,297000000.0,0.147936,2,BALANCED
2298.3,942.29,4.2887,1273746589.96,1.0,0.649149,0.670203,0.762903,2.4391,297000000.0,0.657571,1,MEM_INTENSIVE
1733.22,808.48,3.0154,895564726.62,0.0,0.366608,0.539527,0.338456,2.1438,297000000.0,0.435776,2,BALANCED
1965.15,1043.07,4.556,1353145825.54,0.0,0.482573,0.768628,0.852016,1.884,297000000.0,0.596995,1,MEM_INTENSIVE
2819.1,857.21,4.5508,1351594400.26,0.0,0.909552,0.587124,0.850274,3.2887,297000000.0,0.780581,0,CPU_INTENSIVE
1997.63,800.16,2.3149,687536926.86,0.0,0.498817,0.531411,0.10498,2.4965,297000000.0,0.511855,2,BALANCED
2834.68,901.97,2.5325,752158364.95,0.0,0.917338,0.630832,0.177507,3.1428,297000000.0,0.802735,0,CPU_INTENSIVE
1383.21,281.42,4.7824,1420367268.53,0.0,0.191603,0.024823,0.92746,4.9151,297000000.0,0.124891,2,BALANCED
1615.07,868.84,2.0219,600517180.56,1.0,0.307535,0.598477,0.007314,1.8589,297000000.0,0.423912,2,BALANCED
2406.07,904.98,4.9454,1468789099.26,0.0,0.703033,0.63377,0.981806,2.6587,297000000.0,0.675328,0,CPU_INTENSIVE
1955.01,1035.71,4.71,1398865133.92,0.0,0.477506,0.761433,0.903328,1.8876,297000000.0,0.591077,1,MEM_INTENSIVE
2926.42,1056.77,4.6004,1366320081.49,1.0,0.963211,0.782005,0.866801,2.7692,297000000.0,0.890729,0,CPU_INTENSIVE
2464.83,706.65,3.6593,1086815487.95,0.0,0.732414,0.440089,0.553104,3.488,297000000.0,0.615484,0,CPU_INTENSIVE
2939.63,1264.21,2.8647,850811366.73,0.0,0.969815,0.984578,0.288228,2.3253,297000000.0,0.97572,0,CPU_INTENSIVE
2499.97,610.81,2.3716,704367969.4,1.0,0.749984,0.346493,0.12387,4.0929,297000000.0,0.588587,0,CPU_INTENSIVE
2554.69,757.45,4.9566,1472116291.02,0.0,0.777343,0.4897,0.98554,3.3727,297000000.0,0.662286,0,CPU_INTENSIVE
2955.83,677.45,4.381,1301170796.15,1.0,0.977917,0.411576,0.793682,4.3632,297000000.0,0.751381,0,CPU_INTENSIVE
2110.92,1077.31,4.7741,1417909185.49,0.0,0.555462,0.80206,0.924702,1.9594,297000000.0,0.654101,1,MEM_INTENSIVE
1073.94,637.65,2.1461,637390338.83,1.0,0.036971,0.372702,0.048698,1.6842,297000000.0,0.171263,2,BALANCED
2350.61,986.38,4.3212,1283385128.33,0.0,0.675306,0.713258,0.773721,2.3831,297000000.0,0.690487,0,CPU_INTENSIVE
2478.86,1076.09,2.1469,637626665.45,1.0,0.739431,0.800872,0.048964,2.3036,297000000.0,0.764008,0,CPU_INTENSIVE
2243.8,1134.72,2.0135,598009611.32,0.0,0.621898,0.858125,0.0045,1.9774,297000000.0,0.716389,1,MEM_INTENSIVE
2354.57,286.32,3.2041,951607801.78,0.0,0.677287,0.029607,0.401356,8.2236,297000000.0,0.418215,0,CPU_INTENSIVE
2343.23,499.36,4.5583,1353827986.5,0.0,0.671613,0.237658,0.852781,4.6924,297000000.0,0.498031,0,CPU_INTENSIVE
2706.69,562.12,3.771,1119975343.54,0.0,0.853345,0.298944,0.59032,4.8152,297000000.0,0.631584,0,CPU_INTENSIVE
1549.65,1163.83,2.5628,761145970.61,1.0,0.274825,0.886558,0.187594,1.3315,297000000.0,0.519518,1,MEM_INTENSIVE
1683.85,990.86,4.4223,1313421560.92,0.0,0.341927,0.717639,0.807432,1.6994,297000000.0,0.492212,1,MEM_INTENSIVE
1592.72,673.73,2.4105,715907758.72,0.0,0.296362,0.407942,0.136821,2.364,297000000.0,0.340994,2,BALANCED
2995.16,973.7,3.7856,1124334640.81,0.0,0.99758,0.700881,0.595213,3.0761,297000000.0,0.8789,0,CPU_INTENSIVE
2830.6,764.84,2.4031,713720919.76,0.0,0.915299,0.496917,0.134367,3.7009,297000000.0,0.747946,0,CPU_INTENSIVE
1134.33,462.83,2.053,609742883.87,0.0,0.067167,0.201979,0.017669,2.4509,297000000.0,0.121092,2,BALANCED
2269.08,607.53,3.2611,968560158.41,0.0,0.63454,0.343292,0.420382,3.7349,297000000.0,0.518041,2,BALANCED
2503.93,809.84,2.8536,847525919.72,0.0,0.751963,0.540857,0.284541,3.0919,297000000.0,0.667521,0,CPU_INTENSIVE
1470.19,589.15,4.7272,1403976749.65,0.0,0.235097,0.325343,0.909065,2.4954,297000000.0,0.271195,2,BALANCED
2484.64,860.92,3.9603,1176214335.23,1.0,0.742318,0.590745,0.653439,2.886,297000000.0,0.681689,0,CPU_INTENSIVE
1482.74,586.23,2.4663,732498433.6,0.0,0.241372,0.322492,0.155442,2.5293,297000000.0,0.27382,2,BALANCED
1566.49,830.97,4.3759,1299649212.8,0.0,0.283247,0.561489,0.791974,1.8851,297000000.0,0.394544,2,BALANCED
1876.77,743.69,4.9841,1480279258.3,0.0,0.438386,0.476257,0.994702,2.5236,297000000.0,0.453535,2,BALANCED
2629.28,1180.22,4.3628,1295742544.08,1.0,0.814638,0.902554,0.78759,2.2278,297000000.0,0.849805,0,CPU_INTENSIVE
2124.34,360.34,3.9588,1175753614.77,0.0,0.562171,0.101894,0.652922,5.8954,297000000.0,0.37806,2,BALANCED
2025.46,699.36,2.1075,625935891.51,0.0,0.512732,0.432972,0.035843,2.8962,297000000.0,0.480828,2,BALANCED
1206.01,298.06,2.7382,813245350.85,1.0,0.103003,0.041079,0.246067,4.0461,297000000.0,0.078233,2,BALANCED
1910.24,784.47,2.9377,872499824.58,1.0,0.455118,0.516088,0.31257,2.4351,297000000.0,0.479506,2,BALANCED
1223.2,649.73,2.1816,647930849.69,0.0,0.1116,0.384504,0.060528,1.8826,297000000.0,0.220762,2,BALANCED
1414.04,565.32,3.1824,945166067.47,0.0,0.207021,0.302072,0.394126,2.5013,297000000.0,0.245041,2,BALANCED
1003.32,370.76,4.5883,1362723226.29,1.0,0.001661,0.11207,0.862765,2.7061,297000000.0,0.045825,2,BALANCED
2016.33,757.25,2.9993,890786897.46,0.0,0.508167,0.489502,0.333094,2.6627,297000000.0,0.500701,2,BALANCED
2561.16,1117.39,2.781,825970552.18,0.0,0.780581,0.841204,0.260349,2.2921,297000000.0,0.80483,0,CPU_INTENSIVE
1484.97,747.38,4.0498,1202783196.67,1.0,0.242483,0.479863,0.683258,1.9869,297000000.0,0.337435,2,BALANCED
1661.47,1208.71,2.1457,637275237.25,0.0,0.330736,0.930385,0.048569,1.3746,297000000.0,0.570595,1,MEM_INTENSIVE
2423.12,410.06,2.1421,636210251.82,1.0,0.711558,0.150454,0.047374,5.9091,297000000.0,0.487116,0,CPU_INTENSIVE
2837.65,265.48,2.565,761794879.56,1.0,0.918823,0.00926,0.188322,10.6887,297000000.0,0.554998,0,CPU_INTENSIVE
1221.26,891.03,2.7249,809300267.69,0.0,0.110629,0.620149,0.241639,1.3706,297000000.0,0.314437,2,BALANCED
2180.39,1125.82,2.0142,598224581.08,0.0,0.590195,0.849435,0.004741,1.9367,297000000.0,0.693891,1,MEM_INTENSIVE
2238.24,422.65,4.3188,1282687212.83,0.0,0.619119,0.162743,0.772937,5.2957,297000000.0,0.436569,2,BALANCED
1508.53,1196.84,3.3634,998921570.4,0.0,0.254263,0.918794,0.454457,1.2604,297000000.0,0.520076,1,MEM_INTENSIVE
2969.3,626.21,4.4395,1318524977.13,0.0,0.98465,0.361536,0.813159,4.7417,297000000.0,0.735404,0,CPU_INTENSIVE
2598.43,871.15,2.6491,786772924.45,0.0,0.799214,0.600734,0.216356,2.9827,297000000.0,0.719822,0,CPU_INTENSIVE
1635.27,335.98,2.0895,620582780.16,0.0,0.317636,0.078108,0.029835,4.8671,297000000.0,0.221825,2,BALANCED
1038.07,425.46,4.1755,1240138338.88,0.0,0.019034,0.165488,0.725183,2.4399,297000000.0,0.077616,2,BALANCED
2477.16,580.76,4.6701,1387007336.29,0.0,0.73858,0.317153,0.890019,4.2653,297000000.0,0.57001,0,CPU_INTENSIVE
1252.05,403.17,4.0793,1211548025.39,1.0,0.126026,0.143719,0.693095,3.1055,297000000.0,0.133103,2,BALANCED
2014.59,1271.58,2.012,597570775.82,1.0,0.507293,0.991774,0.004008,1.5843,297000000.0,0.701085,1,MEM_INTENSIVE
2986.17,854.67,2.3807,707076788.19,0.0,0.993085,0.584639,0.12691,3.4939,297000000.0,0.829706,0,CPU_INTENSIVE
2760.76,805.07,3.8654,1148016698.61,1.0,0.88038,0.5362,0.621792,3.4292,297000000.0,0.742708,0,CPU_INTENSIVE
1101.04,864.84,2.8843,856626877.14,0.0,0.05052,0.594568,0.294755,1.2731,297000000.0,0.268139,2,BALANCED
